#Compound                    Mass                        parameter_A              parameter_B
C134CO                       270.278400000000            13.373365311806          7175.821281903928
BCCOOH                       254.365100000000            12.084697101630          6350.733276201307
DNMXYOLOOH                   294.172400000000            17.290822462826          9280.740251494708
DEMPHOLOOH                   246.257000000000            13.432362014827          6969.799318225452
EBZMUCOOH                    204.177300000000            13.142707051932          6881.537557185698
NEBNZOLOOH                   249.174800000000            12.747852611411          6572.202964819126
NC524OOH                     213.142700000000            17.449527069112          9348.590961003913
C925OOH                      220.219700000000            15.231129031322          8158.678156329183
NDNPBZLOOH                   353.196500000000            18.358780724516          9927.403998580870
NDNPETLOOH                   353.196500000000            17.975229119309          9704.459982854360
OTNCATECO                    262.193500000000            13.353716033876          6869.519697116614
HNC524CO                     195.127500000000            13.895590707552          7219.261586122415
C152OOH                      302.363300000000            14.892502572907          7975.984678505954
C83COOHOOH                   204.177300000000            13.171460935302          6925.112660394322
C151OH                       286.363900000000            16.660867261016          8971.783179359889
C151O2                       301.355400000000            13.161922449086          6931.848348817733
C134O                        271.286400000000            11.887817706131          6278.328395164620
NDNT124LO                    336.189200000000            13.287073666470          6974.362256349257
BCALBOOH                     268.348700000000            11.868435312554          6242.725430450597
NDNCRESO2                    324.135400000000            12.497751789201          6450.252132191161
T123NCATO                    262.193500000000            13.141204325501          6765.410654188526
C1310O                       257.302800000000            12.872799223384          6769.085477462109
DNPHENO                      249.111900000000            12.503974621525          6431.080965589990
PTNCATECO                    262.193500000000            13.353716033876          6869.519697116614
MVKOHBOOH                    136.103300000000            12.809229373269          6687.140371751636
C1213OOH                     276.283000000000            18.745737552341         10177.142012980185
C7CO3OHOOH                   190.150700000000            12.654746330328          6607.497719568462
DNIPBNZLO2                   307.191000000000            12.966954471011          6727.179096340551
C534OOH                      180.112800000000            13.143416025325          6762.895051306151
DETLMUOOH                    246.257000000000            13.983377485764          7396.882949492558
NPEBQOOH                     231.159600000000            12.220264223288          6415.624952403152
INAHPCO3H                    227.126300000000            14.769200592752          7732.483788374032
IPNNCATOOH                   324.198400000000            18.313317787671          9857.248952770391
C1312OOH                     258.310800000000            13.903435533649          7408.321040710180
DNEBNZLO2                    293.164500000000            12.747769085236          6571.580938305742
INANCO3H                     256.124400000000            13.659895087014          7069.196071080175
NC6PAN1                      294.129300000000            12.074558134411          6293.636840112181
INANPAN                      301.122000000000            12.420031472441          6414.482210829037
INB1NBCO3H                   256.124400000000            13.744246111256          7142.273379950513
EMPONO2OOH                   263.201400000000            14.821358515277          7811.561947431253
C1213OH                      260.283600000000            17.202105547673          9283.059342144095
DNCRESO                      263.138500000000            12.686589907532          6549.046102117436
C7MJPCO3H                    216.188000000000            12.220924864120          6367.453409240593
C1213O2                      275.275100000000            13.272223449143          6985.828767036948
C133CO                       256.294900000000            12.244217365715          6504.898179564296
C151OOH                      302.363300000000            18.407501505481          9986.285875383026
NPETLQOOH                    245.186100000000            12.403924711671          6527.708048786019
TLEMUCOOH                    190.150700000000            12.650762218367          6576.140168039845
DNOXYOLOOH                   294.172400000000            17.290822462826          9280.740251494708
MNNCATECO                    279.137900000000            13.068859012519          6727.517146075525
PNNCATECO2                   323.190400000000            13.628328014472          7067.494493083145
NDNOETLOOH                   353.196500000000            17.975229119309          9704.459982854360
OXYMUCOOH                    204.177300000000            13.004375814574          6780.610202022994
NDNT124LO2                   352.188600000000            12.913403344931          6729.882818536984
INB1NBPAN                    301.122000000000            12.471484084778          6466.120547770087
C1213O                       259.275700000000            13.753067697807          7295.379035745627
NDNMETOLO                    336.189200000000            13.532213895422          7113.376092198430
INAOOH                       197.143300000000            13.857627476835          7210.108976602899
NDNPXYOLO2                   338.162000000000            12.688933513844          6574.356732104789
PETLMUCOOH                   218.203900000000            13.307971718386          6983.076551599820
NDNPETOLO                    336.189200000000            13.532213895422          7113.376092198430
C1311OOH                     242.311400000000            12.464420483326          6523.652894456359
ENNCATECO                    293.164500000000            13.551971510934          7034.082305439822
C145OOH                      304.336200000000            18.919026491208         10292.407931370786
T124NCTOOH                   279.200800000000            17.282471808462          9221.931118388917
C1310O2                      273.302200000000            12.435521723385          6482.127057269052
C812OOH                      190.193800000000            13.862314284225          7264.186214863891
C734OH                       176.167200000000            13.730900515028          7185.689440203592
INB1NACO2H                   240.125000000000            14.470464495888          7579.159833342643
C118OH                       230.257600000000            13.088038599072          6901.672520429247
IPBZOLOOH                    218.203900000000            12.813740549957          6592.886807150878
C1213CO                      258.267700000000            15.457413639378          8321.906684763428
NTM124LOOH                   263.201400000000            12.644165402624          6509.767836096131
C133OH                       258.310800000000            13.766927285597          7340.727085681346
PXNNCATCO                    293.164500000000            13.082815279350          6740.026356521303
HIEB2OOH                     166.129300000000            15.313373814826          8085.633283681875
NIPBZOLOOH                   263.201400000000            12.967750747266          6727.954234824650
NDNCRESO                     308.136000000000            12.871316705363          6699.364789998759
BCLKCOOH                     270.321500000000            12.525110296780          6635.691103080773
NPBNZOLOOH                   263.201400000000            13.226606685216          6874.922631397273
MTNCATECO2                   278.192900000000            13.117772645822          6698.714337766778
OXNNCATCO2                   309.163900000000            12.707575503911          6483.630030445893
T124NNCTO                    307.191000000000            13.323478775500          6907.581083661190
T123NNCOOH                   324.198400000000            18.020617960233          9690.997988450779
INAHCO3H                     211.126900000000            13.277778859994          6786.830586317496
NPETOLOOH                    263.201400000000            12.931383067822          6690.331287142052
NDNPHENO                     294.109500000000            12.684841477991          6579.440641475189
DETLMUOH                     230.257600000000            12.561882278600          6518.000491231553
C125OOH                      244.284200000000            12.225584851041          6467.408330303093
T123NNCTO2                   323.190400000000            13.156829704549          6798.415322996245
OTNCATCOOH                   279.200800000000            17.867476479810          9561.820114198674
INCOOH                       197.143300000000            13.607584883080          7055.311484050844
DNMETOLO2                    307.191000000000            12.940437050644          6696.139947132471
C1213NO3                     305.281200000000            12.470682506742          6454.813958519631
C1212O                       243.276300000000            12.435867693089          6485.468213806751
C1313OH                      242.311400000000            12.712578224837          6656.870811404328
OTNNCATOOH                   324.198400000000            17.997976826283          9662.373748953456
MXOHNO2OOH                   249.174800000000            14.545841229326          7638.949797827429
MTNNCATOOH                   324.198400000000            18.246724905618          9809.478039273959
C57NO3CO3H                   211.126900000000            13.612219960431          7019.919040797966
NDNPBNZLO                    336.189200000000            13.821233512699          7289.381852224576
NDNOXYOLO2                   338.162000000000            12.688933513844          6574.356732104789
INDHCO3H                     211.126900000000            13.376536261947          6872.764962505006
C151NO3                      331.361500000000            12.405493380488          6434.358305275920
NPBFUOOH                     221.164700000000            11.888839563446          6251.839102198062
NDNPHENOOH                   311.116800000000            17.012510715183          9136.871775982110
OETLMUCOOH                   218.203900000000            13.477100666457          7074.541359600652
NIPRBQOOH                    245.186100000000            12.389448856792          6520.593617175628
DNOETOLO2                    307.191000000000            12.940437050644          6696.139947132471
PNNCATECO                    307.191000000000            14.044801711977          7343.255287944721
DNPBNZLO                     291.191600000000            13.645180052835          7150.548313094975
NDNMXYLOOH                   339.170000000000            17.400291010692          9367.221685588271
INCNCO3H                     256.124400000000            13.436893369028          6931.332221101329
DNCRESOOH                    280.145800000000            17.108011712811          9171.941345921672
C133OOH                      274.310200000000            15.065361994838          8111.250188152804
OETLMUCNO3                   247.202000000000            12.450747114663          6467.332260580081
BCALOOH                      286.363900000000            14.664445231925          7862.041754089774
C527OOH                      166.129300000000            13.586349071837          7095.597507999174
C112OOH                      218.290000000000            12.171047916054          6334.593085539633
INANO3                       226.141500000000            12.751966476369          6537.604366603706
NDNEBZLOOH                   339.170000000000            17.776162106834          9587.383596450532
C621OOH                      178.140000000000            14.277792175334          7589.538715834788
MMALNBCO2H                   193.111600000000            12.738679769273          6521.452498142543
DNOETOLOOH                   308.199000000000            17.868013658279          9621.724762886866
OXNCATECO                    248.166900000000            12.869150806796          6558.240696961380
DNOXYOLO                     277.165100000000            12.872035460259          6668.316077727011
C536OOH                      182.042600000000            14.798018614846          7829.337670027662
BCSOZOOH                     302.363300000000            12.861619142964          6789.290162258025
HMACROOH                     136.103300000000            12.966081029191          6717.090053076286
PNCATECO                     262.193500000000            13.848399407220          7181.245503766591
C137OOH                      242.311400000000            12.990292043348          6823.368536022882
C525OOH                      166.129300000000            15.730380781476          8398.906133205979
C137CO2H                     254.322100000000            13.291839456722          7037.919055941844
MTNNCATCO2                   323.190400000000            13.350138960194          6893.694379801963
